,dataset_id,distance_function,mask,prealign,preprocess,feature_extractor,postprocess,postalign,id_m,id_p,side_m,side_p,finger_m,finger_p,trial_m,trial_p,camera_m,camera_p,distance
0,ii,miura_distance,edge,huang_normalization,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,index,index,1,2,1,1,0.6780138768430182
1,ii,miura_distance,edge,huang_normalization,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,index,index,1,2,2,2,0.7553696451880859
2,ii,miura_distance,edge,huang_normalization,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,index,index,1,3,1,1,0.7138796778777831
3,ii,miura_distance,edge,huang_normalization,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,index,index,1,3,2,2,0.7749594625897614
4,ii,miura_distance,edge,huang_normalization,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,index,index,1,4,1,1,0.7348453177257526
5,ii,miura_distance,edge,huang_normalization,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,index,index,1,4,2,2,0.7516421832079303
6,ii,miura_distance,edge,huang_normalization,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,index,index,1,5,1,1,0.6713749140348093
7,ii,miura_distance,edge,huang_normalization,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,index,index,1,5,2,2,0.732767825364812
8,ii,miura_distance,edge,huang_normalization,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,index,index,2,3,1,1,0.6791638144384182
9,ii,miura_distance,edge,huang_normalization,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,index,index,2,3,2,2,0.6689557186834004
10,ii,miura_distance,edge,huang_normalization,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,index,index,2,4,1,1,0.7265788373065662
11,ii,miura_distance,edge,huang_normalization,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,index,index,2,4,2,2,0.6631032376298106
12,ii,miura_distance,edge,huang_normalization,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,index,index,2,5,1,1,0.6409102937284996
13,ii,miura_distance,edge,huang_normalization,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,index,index,2,5,2,2,0.625712898920034
14,ii,miura_distance,edge,huang_normalization,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,index,index,3,4,1,1,0.6583159713400071
15,ii,miura_distance,edge,huang_normalization,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,index,index,3,4,2,2,0.6494280266920878
16,ii,miura_distance,edge,huang_normalization,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,index,index,3,5,1,1,0.6252699784017279
17,ii,miura_distance,edge,huang_normalization,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,index,index,3,5,2,2,0.6595643939393939
18,ii,miura_distance,edge,huang_normalization,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,index,index,4,5,1,1,0.6450492774345096
19,ii,miura_distance,edge,huang_normalization,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,index,index,4,5,2,2,0.6263588616098693
20,ii,miura_distance,edge,huang_normalization,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,middle,middle,1,2,1,1,0.6533178114086147
21,ii,miura_distance,edge,huang_normalization,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,middle,middle,1,2,2,2,0.6794698251551043
22,ii,miura_distance,edge,huang_normalization,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,middle,middle,1,3,1,1,0.6313554392088423
23,ii,miura_distance,edge,huang_normalization,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,middle,middle,1,3,2,2,0.7277111200413342
24,ii,miura_distance,edge,huang_normalization,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,middle,middle,1,4,1,1,0.7152729384436701
25,ii,miura_distance,edge,huang_normalization,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,middle,middle,1,4,2,2,0.8192234953832462
26,ii,miura_distance,edge,huang_normalization,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,middle,middle,1,5,1,1,0.6862778342941109
27,ii,miura_distance,edge,huang_normalization,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,middle,middle,1,5,2,2,0.7353639022236936
28,ii,miura_distance,edge,huang_normalization,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,middle,middle,2,3,1,1,0.6481525064721111
29,ii,miura_distance,edge,huang_normalization,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,middle,middle,2,3,2,2,0.6451893522008931
30,ii,miura_distance,edge,huang_normalization,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,middle,middle,2,4,1,1,0.6552919064959474
31,ii,miura_distance,edge,huang_normalization,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,middle,middle,2,4,2,2,0.8204134366925064
32,ii,miura_distance,edge,huang_normalization,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,middle,middle,2,5,1,1,0.6859428571428572
33,ii,miura_distance,edge,huang_normalization,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,middle,middle,2,5,2,2,0.7125424862093943
34,ii,miura_distance,edge,huang_normalization,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,middle,middle,3,4,1,1,0.6566682319793379
35,ii,miura_distance,edge,huang_normalization,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,middle,middle,3,4,2,2,0.7814876222057058
