,distance_function,mask,prealign,preprocess,postprocess,postalign,eer,tau
0,hamming_dist,edge,id,id,id,miura_matching,0.18216080402010051,0.35
1,hamming_dist,edge,id,id,skeletonize,miura_matching,0.08040201005025126,0.55
2,hamming_dist,edge,id,hist_eq,id,miura_matching,0.17587939698492464,0.35
3,hamming_dist,edge,id,hist_eq,skeletonize,miura_matching,0.08165829145728642,0.4
4,hamming_dist,edge,huang_normalization,id,id,miura_matching,0.1708542713567839,0.4
5,hamming_dist,edge,huang_normalization,id,skeletonize,miura_matching,0.06909547738693467,0.45
6,hamming_dist,edge,huang_normalization,hist_eq,id,miura_matching,0.20854271356783916,0.2
7,hamming_dist,edge,huang_normalization,hist_eq,skeletonize,miura_matching,0.0942211055276382,0.55
8,hamming_dist,edge,huang_fingertip,id,id,miura_matching,0.1658291457286432,0.35
9,hamming_dist,edge,huang_fingertip,id,skeletonize,miura_matching,0.06658291457286432,0.45
10,hamming_dist,edge,huang_fingertip,hist_eq,id,miura_matching,0.1984924623115578,0.3
11,hamming_dist,edge,huang_fingertip,hist_eq,skeletonize,miura_matching,0.09296482412060302,0.5
12,hamming_dist,edge,translation,id,id,miura_matching,0.16080402010050251,0.25
13,hamming_dist,edge,translation,id,skeletonize,miura_matching,0.06658291457286432,0.4
14,hamming_dist,edge,translation,hist_eq,id,miura_matching,0.19095477386934673,0.25
15,hamming_dist,edge,translation,hist_eq,skeletonize,miura_matching,0.09673366834170849,0.45
16,hamming_dist,fingerfocus,id,id,id,miura_matching,0.20477386934673367,0.6
17,hamming_dist,fingerfocus,id,id,skeletonize,miura_matching,0.10678391959798995,0.75
18,hamming_dist,fingerfocus,id,hist_eq,id,miura_matching,0.1934673366834171,0.45
19,hamming_dist,fingerfocus,id,hist_eq,skeletonize,miura_matching,0.09045226130653267,0.4
20,hamming_dist,fingerfocus,huang_normalization,id,id,miura_matching,0.1972361809045226,0.4
21,hamming_dist,fingerfocus,huang_normalization,id,skeletonize,miura_matching,0.10678391959798995,0.25
22,hamming_dist,fingerfocus,huang_normalization,hist_eq,id,miura_matching,0.2298994974874372,0.25
23,hamming_dist,fingerfocus,huang_normalization,hist_eq,skeletonize,miura_matching,0.12311557788944724,0.4
24,hamming_dist,fingerfocus,huang_fingertip,id,id,miura_matching,0.1959798994974874,0.4
25,hamming_dist,fingerfocus,huang_fingertip,id,skeletonize,miura_matching,0.10552763819095477,0.35
26,hamming_dist,fingerfocus,huang_fingertip,hist_eq,id,miura_matching,0.228643216080402,0.45
27,hamming_dist,fingerfocus,huang_fingertip,hist_eq,skeletonize,miura_matching,0.12437185929648241,0.4
28,hamming_dist,fingerfocus,translation,id,id,miura_matching,0.20979899497487436,0.5
29,hamming_dist,fingerfocus,translation,id,skeletonize,miura_matching,0.10804020100502512,0.4
30,hamming_dist,fingerfocus,translation,hist_eq,id,miura_matching,0.2537688442211055,0.3
31,hamming_dist,fingerfocus,translation,hist_eq,skeletonize,miura_matching,0.14070351758793975,0.5
32,random_subsampling_dist,edge,id,id,id,miura_matching,0.059045226130653265,0.45
33,random_subsampling_dist,edge,id,id,skeletonize,miura_matching,0.0653266331658291,0.5
34,random_subsampling_dist,edge,id,hist_eq,id,miura_matching,0.06281407035175879,0.55
35,random_subsampling_dist,edge,id,hist_eq,skeletonize,miura_matching,0.059045226130653265,0.4
36,random_subsampling_dist,edge,huang_normalization,id,id,miura_matching,0.052763819095477386,0.55
37,random_subsampling_dist,edge,huang_normalization,id,skeletonize,miura_matching,0.05904522613065322,0.6
38,random_subsampling_dist,edge,huang_normalization,hist_eq,id,miura_matching,0.06658291457286432,0.55
39,random_subsampling_dist,edge,huang_normalization,hist_eq,skeletonize,miura_matching,0.07035175879396985,0.45
40,random_subsampling_dist,edge,huang_fingertip,id,id,miura_matching,0.051507537688442184,0.5
41,random_subsampling_dist,edge,huang_fingertip,id,skeletonize,miura_matching,0.056532663316582916,0.65
