,distance_function,mask,prealign,preprocess,postprocess,postalign,cam,eer
0,miura,edge,trans,id,id,miura,2,0.031
1,miura,edge,trans,hist,id,miura,2,0.036
2,miura,edge,trans,id,skel,miura,2,0.04
3,miura,edge,trans,id,id,miura,1,0.041
4,miura,edge,huang,id,id,miura,2,0.041
5,miura,edge,huang,id,skel,miura,2,0.041
6,miura,edge,h + f,id,skel,miura,2,0.043
7,skel,edge,trans,id,skel,miura,2,0.043
8,miura,edge,trans,hist,skel,miura,2,0.044
9,miura,edge,h + f,id,id,miura,2,0.044
10,miura,edge,id,id,id,miura,2,0.046
11,miura,edge,huang,hist,skel,miura,2,0.046
12,miura,edge,trans,hist,id,miura,1,0.046
13,miura,edge,trans,id,skel,miura,1,0.046
14,miura,edge,h + f,hist,skel,miura,2,0.046
15,miura,edge,id,hist,id,miura,2,0.048
16,skel,edge,trans,hist,skel,miura,2,0.049
17,miura,edge,trans,hist,skel,miura,1,0.05
18,miura,edge,huang,id,id,miura,1,0.05
19,miura,edge,h + f,hist,id,miura,1,0.05
20,miura,edge,h + f,hist,id,miura,2,0.05
21,skel,edge,trans,id,skel,miura,1,0.05
22,miura,edge,huang,id,skel,miura,1,0.052
23,skel,edge,huang,id,skel,miura,2,0.052
24,skel,edge,h + f,id,skel,miura,2,0.052
25,miura,edge,h + f,hist,skel,miura,1,0.052
26,miura,edge,h + f,id,id,miura,1,0.053
27,miura,edge,h + f,id,skel,miura,1,0.053
28,miura,edge,huang,hist,skel,miura,1,0.053
29,skel,edge,h + f,hist,skel,miura,2,0.053
30,miura,fing,h + f,id,id,miura,2,0.053
31,skel,edge,huang,hist,skel,miura,2,0.054
32,skel,edge,id,id,skel,miura,2,0.054
33,miura,edge,huang,hist,id,miura,2,0.054
34,miura,edge,huang,hist,id,miura,1,0.054
35,miura,fing,id,id,id,miura,2,0.055
36,miura,edge,id,id,skel,miura,2,0.055
37,miura,fing,h + f,hist,id,miura,2,0.055
38,miura,fing,huang,hist,id,miura,2,0.057
39,miura,fing,huang,id,id,miura,2,0.057
40,miura,edge,id,hist,skel,miura,2,0.057
41,miura,edge,id,id,id,miura,1,0.058
42,miura,fing,trans,id,id,miura,2,0.059
43,miura,edge,id,hist,skel,miura,1,0.062
44,miura,edge,id,id,skel,miura,1,0.062
45,rsd,edge,trans,id,id,miura,2,0.064
46,miura,fing,id,id,id,miura,1,0.064
47,miura,edge,id,hist,id,miura,1,0.064
48,skel,fing,id,id,skel,miura,2,0.064
49,miura,fing,id,hist,id,miura,1,0.064
50,skel,edge,huang,id,skel,miura,1,0.064
51,rsd,edge,h + f,id,id,miura,2,0.064
52,skel,fing,h + f,hist,skel,miura,2,0.065
53,skel,edge,h + f,id,skel,miura,1,0.065
54,skel,edge,h + f,hist,skel,miura,1,0.067
55,miura,fing,id,id,skel,miura,2,0.067
56,skel,edge,trans,hist,skel,miura,1,0.067
57,miura,fing,id,hist,id,miura,2,0.068
58,skel,edge,id,id,skel,miura,1,0.068
59,skel,fing,h + f,id,skel,miura,2,0.068
60,miura,fing,huang,id,skel,miura,2,0.068
61,skel,fing,huang,id,skel,miura,2,0.07
62,skel,edge,huang,hist,skel,miura,1,0.07
63,miura,fing,h + f,id,skel,miura,2,0.07
64,rsd,edge,huang,id,id,miura,2,0.07
65,miura,fing,id,id,skel,miura,1,0.072
66,miura,fing,id,hist,skel,miura,2,0.073
67,miura,fing,huang,id,id,miura,1,0.073
68,skel,fing,huang,hist,skel,miura,2,0.073
69,miura,fing,trans,hist,id,miura,2,0.073
70,rsd,edge,trans,hist,id,miura,2,0.073
71,skel,fing,trans,id,skel,miura,2,0.073
72,skel,edge,id,hist,skel,miura,2,0.073
73,rsd,edge,id,id,id,miura,2,0.074
74,miura,fing,trans,id,skel,miura,2,0.074
75,miura,fing,h + f,hist,id,miura,1,0.075
76,miura,fing,h + f,id,id,miura,1,0.075
77,rsd,edge,trans,id,skel,miura,2,0.075
78,skel,fing,id,hist,skel,miura,2,0.077
79,miura,fing,huang,hist,id,miura,1,0.078
80,miura,fing,id,hist,skel,miura,1,0.079
81,rsd,fing,id,hist,skel,miura,1,0.079
82,miura,fing,huang,hist,skel,miura,2,0.08
83,miura,fing,h + f,hist,skel,miura,2,0.08
84,skel,fing,trans,hist,skel,miura,2,0.08
85,rsd,edge,h + f,hist,id,miura,2,0.083
86,rsd,edge,trans,id,id,miura,1,0.083
87,rsd,fing,h + f,hist,id,miura,2,0.083
88,miura,fing,trans,hist,skel,miura,2,0.084
89,rsd,edge,huang,hist,id,miura,2,0.084
90,rsd,fing,h + f,id,id,miura,2,0.084
91,rsd,edge,h + f,id,skel,miura,2,0.084
92,rsd,fing,id,id,id,miura,1,0.084
93,miura,fing,huang,id,skel,miura,1,0.084
94,rsd,edge,huang,id,skel,miura,2,0.085
95,rsd,edge,h + f,id,id,miura,1,0.085
96,miura,fing,trans,hist,id,miura,1,0.085
97,rsd,edge,huang,id,id,miura,1,0.087
98,rsd,fing,id,id,id,miura,2,0.087
99,rsd,fing,huang,hist,id,miura,2,0.087
100,miura,fing,h + f,id,skel,miura,1,0.088
101,skel,fing,id,id,skel,miura,1,0.088
102,rsd,fing,huang,id,id,miura,2,0.089
103,rsd,edge,trans,id,skel,miura,1,0.089
104,rsd,edge,id,hist,skel,miura,1,0.092
105,miura,fing,h + f,hist,skel,miura,1,0.092
106,miura,fing,huang,hist,skel,miura,1,0.092
107,rsd,edge,huang,id,skel,miura,1,0.092
108,rsd,edge,h + f,id,skel,miura,1,0.092
109,rsd,edge,id,hist,skel,miura,2,0.093
110,rsd,edge,h + f,hist,id,miura,1,0.093
111,rsd,edge,trans,hist,id,miura,1,0.093
112,rsd,edge,id,hist,id,miura,2,0.093
113,rsd,edge,id,id,id,miura,1,0.093
114,rsd,edge,huang,hist,id,miura,1,0.094
115,miura,fing,trans,id,id,miura,1,0.094
116,rsd,edge,id,id,skel,miura,2,0.094
117,skel,fing,h + f,hist,skel,miura,1,0.094
118,hd,edge,trans,id,skel,miura,2,0.094
119,skel,fing,huang,hist,skel,miura,1,0.095
120,rsd,fing,id,hist,id,miura,1,0.095
121,rsd,fing,huang,id,skel,miura,2,0.097
122,rsd,fing,id,hist,id,miura,2,0.097
123,rsd,edge,trans,hist,skel,miura,2,0.097
124,rsd,edge,huang,hist,skel,miura,2,0.097
125,rsd,fing,trans,id,id,miura,2,0.097
126,rsd,fing,id,hist,skel,miura,2,0.098
127,miura,fing,trans,id,skel,miura,1,0.098
128,rsd,edge,h + f,hist,skel,miura,2,0.098
129,rsd,fing,h + f,id,skel,miura,2,0.098
130,skel,edge,id,hist,skel,miura,1,0.101
131,skel,fing,id,hist,skel,miura,1,0.101
132,hd,edge,h + f,id,skel,miura,2,0.102
133,miura,fing,trans,hist,skel,miura,1,0.102
134,rsd,edge,id,hist,id,miura,1,0.102
135,skel,fing,trans,id,skel,miura,1,0.102
136,hd,edge,huang,id,skel,miura,2,0.102
137,rsd,fing,id,id,skel,miura,1,0.102
138,skel,fing,h + f,id,skel,miura,1,0.104
139,rsd,fing,trans,id,skel,miura,2,0.104
140,skel,edge,trans,hist,id,miura,2,0.106
141,rsd,fing,huang,id,id,miura,1,0.106
142,skel,fing,trans,hist,skel,miura,1,0.106
143,rsd,edge,id,id,skel,miura,1,0.107
144,rsd,fing,h + f,id,id,miura,1,0.107
145,skel,fing,huang,id,skel,miura,1,0.108
146,rsd,edge,h + f,hist,skel,miura,1,0.108
147,rsd,fing,h + f,hist,skel,miura,2,0.108
148,rsd,fing,id,id,skel,miura,2,0.108
149,skel,edge,huang,hist,id,miura,2,0.108
150,rsd,fing,huang,hist,skel,miura,2,0.108
151,rsd,fing,trans,id,id,miura,1,0.109
152,rsd,edge,huang,hist,skel,miura,1,0.112
153,rsd,edge,trans,hist,skel,miura,1,0.112
154,rsd,fing,huang,id,skel,miura,1,0.113
155,rsd,fing,h + f,id,skel,miura,1,0.113
156,rsd,fing,trans,hist,id,miura,2,0.113
157,rsd,fing,h + f,hist,id,miura,1,0.114
158,hd,edge,id,id,skel,miura,2,0.116
159,rsd,fing,huang,hist,id,miura,1,0.116
160,hd,edge,id,hist,skel,miura,2,0.117
161,hd,edge,trans,id,skel,miura,1,0.117
162,hd,edge,trans,hist,skel,miura,2,0.118
163,hd,fing,id,hist,skel,miura,1,0.118
164,skel,edge,trans,hist,id,miura,1,0.119
165,skel,edge,h + f,hist,id,miura,2,0.119
166,hd,edge,huang,id,skel,miura,1,0.121
167,hd,edge,huang,hist,skel,miura,2,0.121
168,hd,fing,h + f,id,skel,miura,2,0.122
169,hd,edge,h + f,id,skel,miura,1,0.122
170,hd,edge,id,id,skel,miura,1,0.123
171,hd,fing,huang,id,skel,miura,2,0.123
172,rsd,fing,huang,hist,skel,miura,1,0.124
173,hd,edge,h + f,hist,skel,miura,2,0.126
174,hd,fing,id,id,skel,miura,1,0.126
175,rsd,fing,h + f,hist,skel,miura,1,0.127
176,hd,edge,id,hist,skel,miura,1,0.127
177,skel,fing,huang,hist,id,miura,2,0.128
178,rsd,fing,trans,hist,id,miura,1,0.128
179,rsd,fing,trans,id,skel,miura,1,0.128
180,skel,fing,h + f,hist,id,miura,2,0.131
181,hd,edge,h + f,hist,skel,miura,1,0.132
182,hd,fing,trans,id,skel,miura,2,0.133
183,rsd,fing,trans,hist,skel,miura,2,0.134
184,skel,edge,trans,id,id,miura,2,0.136
185,hd,edge,huang,hist,skel,miura,1,0.136
186,hd,fing,h + f,id,skel,miura,1,0.136
187,hd,fing,h + f,hist,skel,miura,2,0.137
188,skel,edge,id,hist,id,miura,2,0.137
189,hd,fing,id,hist,skel,miura,2,0.137
190,hd,fing,huang,id,skel,miura,1,0.137
191,skel,edge,h + f,hist,id,miura,1,0.139
192,hd,fing,huang,hist,skel,miura,2,0.139
193,hd,edge,trans,hist,skel,miura,1,0.141
194,hd,fing,id,id,skel,miura,2,0.141
195,rsd,fing,trans,hist,skel,miura,1,0.142
196,skel,edge,h + f,id,id,miura,2,0.142
197,skel,edge,huang,hist,id,miura,1,0.146
198,skel,edge,id,id,id,miura,2,0.148
199,miura,edge,huang,hist,skel,id,1,0.148
200,hd,fing,trans,id,skel,miura,1,0.148
201,skel,fing,id,hist,id,miura,1,0.149
202,miura,edge,trans,hist,skel,id,2,0.151
203,skel,fing,id,hist,id,miura,2,0.151
204,miura,edge,id,hist,skel,CoM,1,0.151
205,skel,fing,huang,hist,id,miura,1,0.152
206,miura,edge,huang,hist,skel,id,2,0.152
207,skel,edge,id,hist,id,miura,1,0.153
208,skel,fing,trans,hist,id,miura,2,0.153
209,miura,edge,h + f,hist,skel,CoM,1,0.153
210,hd,fing,huang,hist,skel,miura,1,0.153
211,miura,fing,id,hist,skel,id,2,0.153
212,skel,fing,h + f,hist,id,miura,1,0.155
213,miura,edge,h + f,hist,skel,id,1,0.155
214,skel,fing,id,id,id,miura,2,0.155
215,miura,edge,huang,hist,skel,CoM,1,0.156
216,rsd,fing,id,hist,skel,id,2,0.161
217,miura,edge,trans,hist,skel,CoM,1,0.161
218,rsd,edge,huang,hist,skel,id,2,0.161
219,rsd,edge,huang,hist,skel,id,1,0.162
220,rsd,fing,id,hist,skel,id,1,0.162
221,miura,edge,trans,hist,skel,id,1,0.162
222,skel,edge,huang,id,id,miura,2,0.162
223,hd,fing,h + f,hist,skel,miura,1,0.162
224,miura,edge,h + f,hist,skel,id,2,0.162
225,skel,edge,trans,hist,skel,id,2,0.162
226,rsd,edge,huang,hist,skel,CoM,1,0.163
227,miura,edge,h + f,id,skel,id,1,0.165
228,rsd,edge,trans,hist,skel,id,2,0.166
229,skel,edge,trans,id,id,miura,1,0.166
230,rsd,edge,id,hist,skel,CoM,1,0.167
231,miura,edge,huang,id,skel,id,1,0.167
232,miura,edge,h + f,id,skel,id,2,0.168
233,rsd,edge,huang,id,skel,id,1,0.17
234,rsd,fing,huang,hist,skel,id,2,0.17
235,rsd,edge,h + f,hist,skel,CoM,1,0.17
236,rsd,edge,trans,hist,skel,id,1,0.171
